Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Организация работы",2025-04-14,2025-04-30,13 day,0,"","",,"<p><br></p>"
2,8,"Настройка CI",2025-04-30,2025-04-30,1 day,0,"10FS+7 days","Участник 1",,"<p><br></p>"
2,10,"Выбор используемых технологий",2025-04-14,2025-04-18,5 day,0,"7FS","Участник 1,Участник 2,Участник 3",,"<p><br></p>"
2,9,"Настройка окружения",2025-04-28,2025-04-29,2 day,0,"10FS+5 days","Участник 2,Участник 1,Участник 3",,"<p><br></p>"
2,11,"Детализация архитектуры, договорённости об интерфейсах",2025-04-21,2025-04-25,5 day,0,"10FS","Участник 1,Участник 2,Участник 3",,"<p><br></p>"
1,6,"Изучение теории",2025-04-07,2025-04-11,5 day,0,"","",,"<p><br></p>"
2,7,"Изучение автоматного подхода к элиминации кванторов в арифметике Пресбургера",2025-04-07,2025-04-11,5 day,0,"","Участник 1,Участник 2,Участник 3",,"<p><br></p>"
2,12,"Изучение алгоритмов минимизации DFA",2025-04-07,2025-04-07,1 day,0,"","",,"<p><br></p>"
2,13,"Изучение алгоритмов детерминизации NFA",2025-04-07,2025-04-07,1 day,0,"","",,"<p><br></p>"
2,14,"Изучение алгоритмов построения Complement DFA",2025-04-07,2025-04-07,1 day,0,"","",,"<p><br></p>"
1,15,"Солвер v1 (арифметика Пресбургера)",2025-04-30,2025-05-15,12 day,0,"","",,"<p><br></p>"
2,16,"Парсер",2025-04-30,2025-05-08,7 day,0,"","",,"<p><br></p>"
3,17,"Составление грамматики к REPL интерфейсу",2025-04-30,2025-05-01,2 day,0,"11FS+2 days,9FS","Участник 2",,"<p><br></p>"
3,18,"Написание парсера REPL интерфейса",2025-05-02,2025-05-08,5 day,0,"17FS","Участник 2",,"<p><br></p>"
2,19,"Библиотека для работы с конечными автоматами",2025-04-30,2025-05-07,6 day,0,"","",,"<p><br></p>"
3,20,"Структура хранения + базовые операции (пересечение, объединение, проекция)",2025-04-30,2025-05-06,5 day,0,"7FS,11FS,9FS","Участник 3",,"<p><br></p>"
3,21,"Минимизация DFA",2025-05-07,2025-05-07,1 day,0,"12FS,20FS","",,"<p><br></p>"
3,22,"Детерминизация NFA",2025-05-07,2025-05-07,1 day,0,"13FS,20FS","",,"<p><br></p>"
3,23,"Построение Complement к DFA",2025-05-07,2025-05-07,1 day,0,"14FS,20FS","",,"<p><br></p>"
2,24,"Основная логика солвера",2025-05-01,2025-05-14,10 day,0,"7FS+13 days","Участник 1",,"<p><br></p>"
2,25,"REPL CLI",2025-05-15,2025-05-15,1 day,0,"18FS,24FS","Участник 2",,"<p><br></p>"
